
// Data set paper: A fuzzy K-Means algorithm based on Fisher distribution for the identification of rock discontinuity sets  


Dip     Direction
90	28
90	50
90	74
86	230
88	243
86	257
90	280
83	62
80	85
82	232
80	264
78	218
77	250
73	265
68	255
65	244
65	297
57	270
54	270
50	230
33	216
43	199
88	36
90	50
86	86
85	230
87	250
87	258
90	286
80	65
80	101
82	234
84	266
77	240
78	251
73	270
66	277
63	247
58	77
60	281
54	276
50	255
32	247
85	37
87	53
86	93
87	237
87	250
90	270
90	287
83	73
80	105
81	244
82	276
79	245
77	255
74	270
65	90
65	255
60	228
57	292
55	297
43	216
35	275
87	41
87	56
85	109
85	240
86	251
85	270
90	296
80	75
82	110
82	248
80	291
78	245
75	279
67	225
65	217
63	263
60	232
55	230
52	301
45	218
30	249
90	44
87	57
86	116
85	240
86	252
88	270
80	30
82	83
80	210
82	255
80	297
78	247
75	285
70	242
65	220
65	266
60	233
53	235
47	210
42	286
25	254
87	45
87	67
86	220
87	240
87	255
87	274
83	45
80	84
82	232
80	257
75	84
75	247
78	302
70	248
64	229
65	268
58	244
55	240
47	217
45	291
75	202
90	7
90	15
85	147
86	182
90	327
85	345
90	350
88	360
80	327
82	336
84	355
75	354
74	344
67	15
67	333
70	344
63	13
58	28
60	355
86	12
87	136
88	162
88	314
90	341
88	345
90	355
83	150
80	328
80	342
60	343
75	355
74	357
70	147
70	337
70	353
65	340
57	167
47	8
90	13
86	141
85	163
90	315
88	342
87	345
87	356
80	155
84	330
83	350
78	328
78	357
70	6
70	161
70	337
70	360
62	347
58	313
34	16
85	13
87	143
86	167
86	325
85	342
86	346
85	356
83	186
80	331
80	352
79	346
77	360
70	8
70	304
70	341
70	360
65	350
60	328
27	308
87	14
85	147
87	175
90	326
85	343
86	350
87	358
83	186
82	322
80	355
75	351
72	334
68	10
70	314
70	344
64	10
56	9
46	168
37	60
34	30
34	157
21	25
20	126
22	267
15	7
46	177
37	118
32	81
26	62
20	33
23	127
20	325
13	81
42	83
40	154
32	105
28	97
24	57
20	133
18	77
12	85
44	106
36	177
32	119
26	129
20	70
25	145
19	111
6	132
43	176
40	181
31	126
30	167
25	115
22	158
16	153
7	190
36	205
35	133
25	20
20	121
20	260
18	214
0	180
90	10
87	24
87	150
90	314
90	328
87	345
85	353
82	13
83	327
80	338
77	192
75	354
74	356
67	140
66	334
70	346
65	193
60	149
53	304
