25,145,2,3
40,35,1,2
35,175,2,3
56,145,2,3
35,135,2,3
24,140,2,3
35,155,2,3
11,225,2,3
25,140,2,3
45,25,1,2
44,160,2,3
42,200,2,3
25,138,2,3
37,150,2,3
30,150,2,3
35,10,1,2
30,160,2,3
64,20,1,1
55,170,2,3
50,125,2,3
47,210,2,3
56,190,2,3
50,185,2,3
42,235,2,1
45,115,2,3
20,170,2,3
59,160,2,3
22,155,2,3
55,150,2,3
42,170,2,3
35,120,2,3
50,175,2,3
50,145,2,3
35,277,1,2
43,187,2,3
45,152,2,3
52,150,2,3
45,150,2,3
56,65,1,1
35,95,2,3
54,120,2,3
15,130,2,3
10,145,2,3
24,55,1,2
36,305,1,2
26,16,1,2
33,132,2,3
30,130,2,3
21,141,2,3
20,145,2,3
16,115,2,3
15,330,1,2
12,10,1,2
81,320,1,2
73,240,2,1
35,0,1,2
40,315,1,2
71,265,1,1
41,310,1,2
44,340,1,2
34,42,1,2
83,340,1,2
55,300,1,2
40,345,1,2
53,30,1,1
60,310,1,2
54,325,1,2
75,335,1,2
75,155,2,3
62,320,1,2
62,180,2,3
45,355,1,2
55,281,1,2
49,30,1,2
37,5,1,2
39,5,1,2
40,70,1,3
63,300,1,2
42,345,1,2
31,340,1,2
61,5,1,2
57,325,1,2
55,350,1,2
38,2,1,2
42,10,1,2
72,52,1,1
37,94,2,3
64,22,1,1
25,340,1,2
35,335,1,2
38,335,1,2
57,335,1,2
72,255,2,1
26,310,1,2
68,310,1,2
78,345,1,2
55,250,2,1
55,135,2,3
60,200,2,1
55,243,2,1
77,130,2,3
82,140,2,3
61,330,1,2
78,155,2,3
70,150,2,3
64,148,2,3
85,240,1,1
60,175,2,3
70,100,2,3
85,40,1,1
83,30,1,1
76,40,1,1
80,30,1,1
72,320,1,2
85,40,1,1
75,195,2,1
70,40,1,1
62,350,1,2
85,220,1,1
54,245,2,1
70,45,1,1
72,45,1,1
84,210,1,1
38,273,1,2
68,105,2,3
51,4,1,2
80,320,1,2
37,275,1,2
85,235,1,1
76,355,1,2
60,225,2,1
70,235,2,1
65,245,2,1
65,77,1,1
84,215,1,1
56,25,1,1
74,260,2,1
56,130,2,3
84,165,2,3
66,25,1,1
71,170,2,3
86,60,1,1
73,40,1,1
80,222,1,1
70,20,1,1
81,190,1,1
82,50,1,1
89,45,1,1
83,165,2,3
85,325,1,2
84,45,1,1
58,113,2,3
62,355,1,2
85,30,1,1
85,55,1,1
75,302,1,2
83,10,1,1
90,59,1,1
66,220,2,1
